country_name,eci_rank1998,eci1998,gini1998,eci_rank1999,eci1999,gini1999,eci_rank2000,eci2000,gini2000,eci_rank2001,eci2001,gini2001,eci_rank2002,eci2002,gini2002,eci_rank2003,eci2003,gini2003,eci_rank2004,eci2004,gini2004,eci_rank2005,eci2005,gini2005,eci_rank2006,eci2006,gini2006,eci_rank2007,eci2007,gini2007,eci_rank2008,eci2008,gini2008,eci_rank2009,eci2009,gini2009,eci_rank2010,eci2010,gini2010,eci_rank2011,eci2011,gini2011,eci_rank2012,eci2012,gini2012,eci_rank2013,eci2013,gini2013,eci_rank2014,eci2014,gini2014,eci_rank2015,eci2015,gini2015,eci_rank2016,eci2016,gini2016,eci_rank2017,eci2017,gini2017,eci_rank2018,eci2018,gini2018,eci_rank2019,eci2019,gini2019,eci_rank2020,eci2020,gini2020,incpp1998,incpp1999,incpp2000,incpp2001,incpp2002,incpp2003,incpp2004,incpp2005,incpp2006,incpp2007,incpp2008,incpp2009,incpp2010,incpp2011,incpp2012,incpp2013,incpp2014,incpp2015,incpp2016,incpp2017,incpp2018,incpp2019,incpp2020
Cameroon,88,-1.7859979,0,90,-1.8090559,0,93,-1.7214812,0,99,-1.5903075,42.099998,93,-1.2596887,0,89,-1.1337181,0,93,-1.1250296,0,105,-1.4793733,0,107,-1.4914174,0,107,-1.2620187,42.799999,107,-1.0975653,0,106,-0.99890196,0,102,-0.91598892,0,98,-0.81265098,0,107,-0.95160419,0,105,-0.83371979,0,108,-0.86432737,46.599998,97,-0.65064627,0,91,-0.58960479,0,104,-0.89006841,0,108,-1.0561565,0,112,-1.1748638,0,113,-1.1669699,0,1951.600648,2014.298885,2083.234248,2164.670413,2236.100696,2339.840649,2502.379084,2567.223587,2673.563213,2786.085597,2838.695078,2848.329956,2882.7507,2957.163456,3022.358011,3194.162032,3369.32489,3437.789826,3559.13512,3691.094724,3822.232765,3915.827499,3870.829433
Canada,17,0.96697789,33.200001,19,0.91526729,33.099998,23,0.83123159,33.400002,22,0.86400813,33.599998,24,0.82072443,33.599998,25,0.79341376,33.799999,26,0.77216923,33.799999,28,0.71065289,33.599998,28,0.6986928,34.099998,35,0.63030988,33.799999,38,0.55349344,33.900002,37,0.49596119,34,40,0.45456085,33.599998,38,0.55550301,32.700001,37,0.56158328,33.5,37,0.58875442,33.799999,37,0.60788548,33.200001,39,0.54432994,33.700001,41,0.45557597,32.700001,39,0.54963619,33.299999,41,0.53333247,32.5,40,0.54612094,31.700001,41,0.52473503,0,26319.67416,27841.35335,29362.08416,30230.80297,30963.053,32349.94366,33925.70673,36327.22865,38119.4132,39575.30975,40376.30688,38865.41346,40099.44824,41666.70763,42290.96541,44298.57873,45753.75055,44670.08054,46472.34025,48317.17458,49992.76228,49832.40538,47226.36514
Chad,,,0,,,0,,,0,,,0,,,0,,,39.799999,,,0,,,0,113,-2.2718506,0,120,-2.7497721,0,123,-3.1778381,0,123,-2.9848878,0,82,-0.48688963,0,66,-0.081448272,43.299999,97,-0.78903216,0,132,-2.4179854,0,134,-2.4706359,0,130,-1.8798469,0,126,-1.896736,0,128,-1.9130875,0,,,37.5,,,0,,,0,811.8594545,789.735094,773.6499304,854.3746237,909.4612937,1022.523506,1342.190968,1560.653018,1562.907046,1602.449609,1626.031801,1646.509959,1828.677828,1804.062929,1734.843414,1569.49404,1672.98072,1816.288184,1660.984878,1579.7606,1601.132445,1628.242767,1572.601587
Chile,42,0.034598649,55.5,49,-0.060722161,0,49,-0.015071946,52.799999,52,-0.074908458,0,54,-0.17733259,0,55,-0.2256958,51.5,58,-0.23814724,0,63,-0.31734878,0,68,-0.29760581,47.299999,72,-0.22903155,0,72,-0.22315802,0,77,-0.31179851,47,81,-0.47502029,0,75,-0.35802856,46,70,-0.26518363,0,71,-0.21101414,45.799999,73,-0.17323099,0,73,-0.21623075,44.400002,73,-0.28956053,0,70,-0.2263373,44.400002,69,-0.20208111,0,71,-0.27697,0,71,-0.32799637,44.900002,8927.836315,8921.984384,9468.318799,9876.226278,10239.38515,10820.67088,11735.17679,12685.02796,15676.58343,16875.71456,16550.44891,16118.37675,18104.7246,20330.5246,21584.68127,22425.58942,22779.42767,22691.48662,23492.28786,24546.91242,25564.53672,25600.1927,24941.23509
China,48,-0.11770003,0,47,-0.037674241,38.700001,44,0.13796687,0,35,0.29871005,0,37,0.28486449,42,38,0.30822361,0,36,0.42596957,0,34,0.51889735,40.900002,32,0.60462385,0,28,0.75420064,0,25,0.85627139,43,23,0.92356706,0,23,0.97989368,43.700001,22,1.0976994,42.400002,20,1.1427227,42.200001,21,1.1189501,39.700001,21,1.171975,39.200001,20,1.1840439,38.599998,20,1.1488161,38.5,20,1.1694037,39.099998,21,1.1747699,38.5,21,1.1728234,38.200001,21,1.1878822,37.099998,2448.482291,2650.178686,2917.24253,3208.229957,3532.081651,3938.730274,4427.131003,5056.404724,5842.778636,6818.923409,7581.453513,8305.760185,9254.779603,10292.94048,11168.6973,11872.49738,12480.33853,12897.50229,13483.37727,14243.53261,15497.82574,16655.39936,17209.44295
Colombia,47,-0.082915232,0,50,-0.10082172,58.700001,48,-0.014753482,58.700001,47,0.11466563,57.5,40,0.2154503,56,48,0.001599639,53.599998,52,-0.080692835,55,58,-0.23478399,53.900002,58,-0.16408806,0,59,0.0054393,0,55,0.16122001,55.299999,55,0.1619695,54.299999,54,0.14898337,54.599998,57,0.12041076,53.5,53,0.15713692,52.599998,55,0.22403173,52.599998,49,0.27610177,52.599998,58,0.13616374,51,54,0.17540775,50.599998,55,0.13122369,49.700001,54,0.14072609,50.400002,54,0.13891968,51.299999,52,0.14313558,53.5,6825.870768,6520.964545,6753.464794,6911.727494,7085.62081,7398.183502,7888.450084,8412.996829,9135.678975,9891.37577,10291.19999,10357.33409,10830.19512,11694.72661,12095.6485,12798.66319,13390.03195,13378.67515,13971.33959,14334.91461,15161.31797,15872.30898,15103.07382
"Congo, Dem. Rep.",,,0,,,0,,,0,,,0,,,0,,,0,,,42.200001,,,0,,,0,111,-1.5384221,0,111,-1.1976032,0,115,-1.4526565,0,119,-1.7311809,0,122,-1.4965189,0,112,-1.165858,42.099998,122,-1.389894,0,125,-1.3922374,0,115,-1.1890441,0,114,-1.2495655,0,97,-0.7517603,0,103,-0.86134207,0,99,-0.85650742,0,107,-1.0437391,0,495.9580972,467.8942276,432.6993394,420.2721766,426.1746285,445.5148537,473.9589299,502.8971999,528.8716998,558.9001538,586.0287494,587.5528153,616.5323991,650.4366032,650.9215896,731.9328213,824.4124376,877.6808352,932.4051652,1023.539833,1073.446906,1104.843368,1102.553518
"Congo, Rep.",,,0,,,0,89,-1.4992995,0,95,-1.3880309,0,90,-1.205995,0,92,-1.2688658,0,104,-1.6047205,0,104,-1.4721668,47.299999,108,-1.5942783,0,114,-1.7897711,0,115,-1.762324,0,116,-1.5355209,0,115,-1.4976004,0,123,-1.5450451,48.900002,117,-1.3651984,0,120,-1.3339324,0,121,-1.2778314,0,116,-1.1891549,0,108,-0.92484838,0,87,-0.57196647,0,92,-0.65004665,0,107,-0.99703795,0,108,-1.0650094,0,3620.050855,3482.032021,3687.232246,3769.265332,3910.797434,3910.654111,4016.429446,4305.869938,4616.63511,4267.756861,4473.227068,4827.907091,5152.51779,5204.000834,6062.822776,5810.922383,5681.772202,4448.916586,3687.580949,4073.926085,3877.439563,3851.773555,3574.241387
Costa Rica,60,-0.43822181,45.700001,56,-0.27891177,47.700001,55,-0.12669046,47.400002,54,-0.086730525,51.5,53,-0.081984848,51.799999,52,-0.12510556,49.299999,55,-0.19686736,48.400002,54,-0.1497926,47.5,53,0.022421956,49.299999,54,0.16182399,49.299999,54,0.19129172,48.599998,56,0.15797257,50.599998,58,0.069276884,48,58,0.080182485,48.799999,51,0.17765568,48.400002,48,0.32248574,49.200001,44,0.40094474,48.599998,47,0.36711699,48.400002,47,0.33285707,48.700001,50,0.22309887,48.299999,50,0.17666134,48,50,0.22405787,48.200001,47,0.20271006,49.200001,7231.77471,7486.053004,7796.430885,8099.7124,8363.810725,8756.921955,9248.126628,9772.464327,10658.27763,11680.5728,12297.21336,12103.38185,12740.34097,13410.35454,14174.6021,14851.13544,15905.14794,16925.17941,18898.07522,20168.22048,21144.40977,22608.23216,21693.67282
Cote d'Ivoire,85,-1.4782507,39,86,-1.4128507,0,81,-1.0232874,0,76,-0.71721804,0,74,-0.62964153,41.299999,74,-0.67618513,0,77,-0.70618355,0,80,-0.72009677,0,89,-0.72728026,0,96,-0.75425309,0,99,-0.803945,43.200001,101,-0.90245342,0,109,-1.1182922,0,102,-0.89574975,0,106,-0.9443298,0,101,-0.74712408,0,100,-0.72839338,0,100,-0.71629989,41.5,93,-0.61007267,0,93,-0.69581795,0,101,-0.80560583,37.200001,100,-0.87920868,0,109,-1.0652666,0,3242.547529,3227.520171,3202.951742,3121.727848,3007.357263,2852.020434,2952.041262,3005.998332,3116.371153,3166.671537,3310.47535,3379.412564,3577.706982,3384.930979,3483.689789,3801.616471,4254.230896,4579.85146,4693.675045,4836.048367,5060.59743,5350.010141,5377.394446
