Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2023/10/26,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8503.697887,8541.710725,8994.743062,9202.876484,9510.823883,9693.555482,10407.83935,10954.86026,11614.49854,12522.51594,13281.07439,13222.74888,14254.51977,14989.15778,14994.34347,15535.72377,15664.80174,14692.63231,14208.16111,14477.86177,14971.05467,15307.94124,14900.10422,16260.09875,17821.73726
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12027.96711,12213.82783,13022.00962,12965.14681,13217.20134,13717.52169,14231.07062,15202.8526,16571.63266,17307.87206,17675.1852,16824.55708,16568.36896,16749.03935,15726.2358,15747.13709,15575.95073,15947.42152,16370.74562,16198.96216,16388.59954,16631.46439,14579.09038,15177.84971,17837.45322
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,62830.2713,64276.50059,66212.60982,68169.50228,70522.90358,72627.3339,73618.9315,74921.41361,79312.33331,80302.21993,79040.28831,76993.47462,78784.82722,82300.65605,86588.60952,82305.27625,80027.9853,61572.6217,55477.4694,60173.05113,61084.25804,64029.443,65054.19432,66347.65814,69274.98414
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2468.427024,2637.516976,2710.776229,2923.476871,3211.222078,3444.105914,3660.445001,3968.933542,4313.171394,5178.813183,5466.317807,5805.761962,6504.347934,7090.948277,7697.506415,7785.214064,8462.798599,9303.945982,10275.16059,10986.88814,11503.84721,12297.62073,11137.831,12036.36408,
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8023.186325,8733.650018,8922.18535,8964.661185,9478.370607,9936.89142,10298.09379,10907.14135,11957.32781,12739.03914,13136.16904,11119.57606,12139.49853,12976.26068,12069.46877,12833.27836,14338.57408,13420.5066,15277.04232,14656.77299,15321.7802,15759.16223,14303.93611,16449.34623,18323.0457
Central African Republic,CAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,658.4702554,672.8071176,652.3937607,681.3600112,701.3401453,660.417846,703.377201,715.7262427,757.6183289,798.8360794,813.8320694,870.4223047,902.7815842,945.5931285,1024.247563,683.9656325,670.1038234,733.7495807,787.4711684,839.6000095,875.1937178,898.3153199,895.2514772,924.1514243,967.2683238
Canada,CAN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,26319.67416,27841.35335,29362.08416,30230.80297,30963.053,32349.94366,33925.70673,36327.22865,38119.4132,39575.30975,40376.30688,38865.41346,40099.44824,41666.70763,42290.96541,44298.57873,45753.75055,44670.08054,46472.34025,48317.17458,49992.76228,49832.40538,47226.36514,53023.42056,58399.54548
Central Europe and the Baltics,CEB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9097.382662,9396.468918,10016.49843,10800.39853,11630.61621,12340.95283,13483.57484,14312.60484,15919.49383,17761.80525,19673.54394,19701.19962,20823.37258,22309.098,23107.00157,23859.90579,24926.9054,26134.61122,27753.50007,29830.04786,32011.75576,34957.24874,34847.14048,37716.76375,42799.33029
Switzerland,CHE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,33858.67211,34742.63186,36697.62804,37819.01436,38704.95846,38737.12724,40175.64457,41524.84887,46272.85795,50924.37295,53808.78411,52973.46324,54438.9787,57493.58106,59440.91586,61656.46617,63417.04372,65265.04573,67350.75187,68193.50549,70688.81875,72668.74711,70810.82069,75979.76622,83598.45336
Channel Islands,CHI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8927.836315,8921.984384,9468.318799,9876.226278,10239.38515,10820.67088,11735.17679,12685.02796,15676.58343,16875.71456,16550.44891,16118.37675,18104.7246,20330.5246,21584.68127,22425.58942,22779.42767,22691.48662,23492.28786,24546.91242,25564.53672,25600.1927,24941.23509,28337.07321,30208.80553
China,CHN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2448.482291,2650.178686,2917.24253,3208.229957,3532.081651,3938.730274,4427.131003,5056.404724,5842.778636,6818.923409,7581.453513,8305.760185,9254.779603,10292.94048,11168.6973,11872.49738,12480.33853,12897.50229,13483.37727,14243.53261,15497.82574,16655.39936,17209.44295,19484.30809,21475.61053
